bin_id,timestamp,fill_level_pct,waste_weight_kg,waste_type,temperature_c,humidity_pct,battery_level_pct,sensor_status,was_collected
BIN-الو-001-1985,2026-01-01T00:00:00,1.9,3.56,Mixed,17.7,24.8,74.1,OK,False
BIN-الو-001-1985,2026-01-01T03:00:00,2.4,4.51,Mixed,18.3,57.2,74.0,OK,False
BIN-الو-001-1985,2026-01-01T06:00:00,4.7,8.69,Mixed,18.6,46.2,74.0,OK,False
BIN-الو-001-1985,2026-01-01T09:00:00,6.1,11.35,Mixed,17.1,79.4,73.9,OK,False
BIN-الو-001-1985,2026-01-01T12:00:00,7.6,13.96,Mixed,18.1,48.0,73.8,OK,False
BIN-الو-001-1985,2026-01-01T15:00:00,9.0,16.7,Mixed,16.1,45.6,73.8,OK,False
BIN-الو-001-1985,2026-01-01T18:00:00,10.4,19.23,Mixed,18.0,73.5,73.7,OK,False
BIN-الو-001-1985,2026-01-01T21:00:00,11.8,21.72,Mixed,17.4,57.5,73.7,OK,False
BIN-الو-002-DF1E,2026-01-01T00:00:00,1.4,3.28,Organic,20.5,54.3,73.5,OK,False
BIN-الو-002-DF1E,2026-01-01T03:00:00,3.7,8.56,Organic,16.3,83.0,73.4,OK,False
BIN-الو-002-DF1E,2026-01-01T06:00:00,5.4,12.4,Organic,19.1,78.6,73.3,OK,False
BIN-الو-002-DF1E,2026-01-01T09:00:00,6.1,14.04,Organic,15.1,67.7,73.3,OK,False
BIN-الو-002-DF1E,2026-01-01T12:00:00,7.3,16.87,Organic,17.6,49.9,73.3,OK,False
BIN-الو-002-DF1E,2026-01-01T15:00:00,8.7,20.05,Organic,17.2,67.7,73.2,OK,False
BIN-الو-002-DF1E,2026-01-01T18:00:00,10.2,23.48,Organic,15.0,40.3,73.2,OK,False
BIN-الو-002-DF1E,2026-01-01T21:00:00,12.1,27.94,Organic,17.8,55.2,73.1,OK,False
BIN-الو-003-27EF,2026-01-01T00:00:00,0.5,1.47,Paper,18.0,61.9,73.0,OK,False
BIN-الو-003-27EF,2026-01-01T03:00:00,1.0,3.03,Paper,18.8,56.7,73.0,OK,False
BIN-الو-003-27EF,2026-01-01T06:00:00,1.8,5.43,Paper,20.0,53.6,72.9,OK,False
BIN-الو-003-27EF,2026-01-01T09:00:00,2.4,7.25,Paper,17.5,60.8,72.9,OK,False
BIN-الو-003-27EF,2026-01-01T12:00:00,3.3,10.11,Paper,19.6,43.8,72.9,OK,False
BIN-الو-003-27EF,2026-01-01T15:00:00,3.9,11.92,Paper,16.4,49.7,72.8,OK,False
BIN-الو-003-27EF,2026-01-01T18:00:00,4.6,14.04,Paper,19.9,57.4,72.8,OK,False
BIN-الو-003-27EF,2026-01-01T21:00:00,6.0,18.35,Paper,18.1,58.1,72.7,OK,False
BIN-مطر-001-12DF,2026-01-01T00:00:00,3.5,2.92,Organic,17.9,36.1,89.0,OK,False
BIN-مطر-001-12DF,2026-01-01T03:00:00,6.1,5.14,Organic,17.6,34.3,89.0,OK,False
BIN-مطر-001-12DF,2026-01-01T06:00:00,7.5,6.26,Organic,15.9,57.8,89.0,OK,False
