bin_id,governorate,region,latitude,longitude,capacity_liters,primary_waste_type,install_date
BIN-الو-001-1985,الوادي الجديد,Upper Egypt,25.45039,30.49552,660,Mixed,2025-07-18
BIN-الو-002-DF1E,الوادي الجديد,Upper Egypt,25.45536,30.61433,660,Organic,2025-06-21
BIN-الو-003-27EF,الوادي الجديد,Upper Egypt,25.47353,30.48917,1100,Paper,2025-01-30
BIN-مطر-001-12DF,مطروح,Coastal & Red Sea,31.4828,27.21292,240,Organic,2025-08-04
BIN-مطر-002-DC83,مطروح,Coastal & Red Sea,31.39126,27.30504,240,Plastic,2025-10-15
BIN-مطر-003-4B5E,مطروح,Coastal & Red Sea,31.30483,27.27634,1100,Metal,2025-06-24
BIN-مطر-004-4660,مطروح,Coastal & Red Sea,31.28403,27.26989,1100,Glass,2025-01-29
BIN-مطر-005-E90A,مطروح,Coastal & Red Sea,31.3613,27.25042,120,Organic,2025-03-25
BIN-شما-001-7450,شمال سيناء,Canal & Sinai,31.11509,33.8881,240,Plastic,2025-03-30
BIN-شما-002-DD84,شمال سيناء,Canal & Sinai,31.03063,33.77831,660,Plastic,2025-04-12
BIN-شما-003-1ADE,شمال سيناء,Canal & Sinai,31.17427,33.846,660,Plastic,2025-11-21
BIN-شما-004-AE45,شمال سيناء,Canal & Sinai,31.18308,33.78692,1100,Organic,2025-01-21
BIN-جنو-001-C31F,جنوب سيناء,Canal & Sinai,28.26741,33.57698,240,Organic,2025-11-24
BIN-جنو-002-3794,جنوب سيناء,Canal & Sinai,28.16825,33.64592,660,Plastic,2025-10-04
BIN-جنو-003-66DD,جنوب سيناء,Canal & Sinai,28.26884,33.64349,240,Organic,2025-06-20
BIN-جنو-004-00B0,جنوب سيناء,Canal & Sinai,28.2146,33.61192,660,Organic,2025-07-22
BIN-الأ-001-EAFE,الأقصر,Upper Egypt,25.63118,32.62727,120,Mixed,2025-10-28
BIN-الأ-002-EC2C,الأقصر,Upper Egypt,25.73762,32.53596,660,Plastic,2025-08-11
BIN-الأ-003-032F,الأقصر,Upper Egypt,25.65155,32.55284,120,Paper,2025-02-25
BIN-الأ-004-C425,الأقصر,Upper Egypt,25.70116,32.64091,120,Paper,2025-04-30
BIN-الف-001-88D0,الفيوم,Upper Egypt,29.22015,30.78187,240,Organic,2025-02-16
BIN-الف-002-2C7A,الفيوم,Upper Egypt,29.4282,31.01763,240,Plastic,2024-12-21
BIN-الف-003-C9B9,الفيوم,Upper Egypt,29.18048,30.85886,1100,Plastic,2025-08-02
BIN-الف-004-1D56,الفيوم,Upper Egypt,29.27167,30.83435,240,Mixed,2025-01-31
BIN-الف-005-BF69,الفيوم,Upper Egypt,29.29888,30.78066,240,Paper,2025-10-23
BIN-الف-006-C457,الفيوم,Upper Egypt,29.30517,30.94888,1100,Organic,2025-02-21
BIN-الف-007-72B1,الفيوم,Upper Egypt,29.27844,30.7717,120,Plastic,2025-11-19
BIN-الب-001-49B9,البحر الأحمر,Coastal & Red Sea,27.2306,33.73806,1100,Mixed,2024-11-30
BIN-الب-002-99F1,البحر الأحمر,Coastal & Red Sea,27.35265,33.8212,120,Plastic,2025-01-06
BIN-الب-003-E352,البحر الأحمر,Coastal & Red Sea,27.33626,33.82476,240,Organic,2025-04-02
BIN-الب-004-561D,البحر الأحمر,Coastal & Red Sea,27.28363,33.90375,240,Mixed,2025-08-27
BIN-الب-005-1FB7,البحر الأحمر,Coastal & Red Sea,27.17581,33.91066,120,Organic,2025-01-29
BIN-كفر-001-E19F,كفر الشيخ,Delta,31.16565,30.85922,1100,Organic,2025-10-15
BIN-كفر-002-A7CB,كفر الشيخ,Delta,31.14001,30.90975,1100,Plastic,2025-08-13
BIN-كفر-003-5ECA,كفر الشيخ,Delta,31.14299,31.01904,660,Mixed,2025-08-19
BIN-كفر-004-9576,كفر الشيخ,Delta,31.09727,30.95335,120,Organic,2025-04-12
BIN-كفر-005-9D01,كفر الشيخ,Delta,31.11613,30.95249,120,Plastic,2024-12-10
BIN-كفر-006-A9F1,كفر الشيخ,Delta,31.05951,30.92156,240,Glass,2025-06-13
BIN-كفر-007-0CDD,كفر الشيخ,Delta,31.12964,31.01115,240,Glass,2025-01-30
BIN-كفر-008-330A,كفر الشيخ,Delta,30.98186,30.92904,1100,Metal,2025-04-22
BIN-كفر-009-ABA2,كفر الشيخ,Delta,31.24336,30.90703,120,Plastic,2025-07-17
BIN-بني-001-5F45,بني سويف,Upper Egypt,29.08659,31.20312,240,Organic,2025-08-10
BIN-بني-002-F924,بني سويف,Upper Egypt,29.11274,31.12549,120,Organic,2025-08-19
BIN-بني-003-B9F0,بني سويف,Upper Egypt,28.98361,31.08511,660,Organic,2025-11-12
BIN-بني-004-8FF3,بني سويف,Upper Egypt,29.03278,31.12769,660,Organic,2025-03-26
BIN-بني-005-4002,بني سويف,Upper Egypt,29.08721,31.10259,660,Metal,2025-01-13
BIN-بور-001-6215,بورسعيد,Canal & Sinai,31.28097,32.23516,120,Organic,2025-01-28
BIN-بور-002-3713,بورسعيد,Canal & Sinai,31.29411,32.19722,1100,Mixed,2025-01-24
BIN-بور-003-91A3,بورسعيد,Canal & Sinai,31.19867,32.27361,660,Paper,2025-02-17
BIN-بور-004-43BC,بورسعيد,Canal & Sinai,31.24777,32.29569,1100,Plastic,2025-05-18
BIN-دمي-001-E5AD,دمياط,Delta,31.46833,31.79359,240,Paper,2025-07-15
BIN-دمي-002-4267,دمياط,Delta,31.39643,31.8913,660,Plastic,2024-12-28
BIN-دمي-003-B43E,دمياط,Delta,31.48714,31.83965,1100,Paper,2025-01-23
BIN-دمي-004-30EE,دمياط,Delta,31.46618,31.79551,1100,Organic,2025-04-12
BIN-دمي-005-7F78,دمياط,Delta,31.47588,31.7426,660,Metal,2025-03-20
BIN-الإ-001-DFCE,الإسماعيلية,Canal & Sinai,30.63475,32.22956,1100,Organic,2024-12-17
BIN-الإ-002-1B15,الإسماعيلية,Canal & Sinai,30.52351,32.23123,660,Organic,2025-04-19
BIN-الإ-003-62C3,الإسماعيلية,Canal & Sinai,30.66582,32.30803,240,Plastic,2025-06-13
BIN-الإ-004-7B54,الإسماعيلية,Canal & Sinai,30.60082,32.29633,660,Plastic,2025-06-03
BIN-الإ-005-D752,الإسماعيلية,Canal & Sinai,30.56103,32.30695,1100,Organic,2025-10-20
BIN-الم-001-A32C,المنوفية,Delta,30.57164,31.06236,120,Mixed,2025-07-16
BIN-الم-002-1E75,المنوفية,Delta,30.61091,31.06221,240,Metal,2025-10-20
BIN-الم-003-199C,المنوفية,Delta,30.54719,30.89149,240,Paper,2025-04-29
BIN-الم-004-C3C3,المنوفية,Delta,30.56597,31.09027,660,Organic,2025-01-31
BIN-الم-005-68A8,المنوفية,Delta,30.46342,30.96405,120,Mixed,2025-08-13
BIN-الم-006-0283,المنوفية,Delta,30.57608,30.92693,240,Metal,2024-11-29
BIN-الم-007-9ECD,المنوفية,Delta,30.53119,31.03926,120,Mixed,2025-10-24
BIN-الم-008-323B,المنوفية,Delta,30.51976,31.01999,660,Mixed,2025-10-30
BIN-الم-009-7EBF,المنوفية,Delta,30.5913,30.96942,240,Glass,2025-10-11
BIN-سوه-001-6ED1,سوهاج,Upper Egypt,26.62225,31.77446,240,Organic,2025-11-18
BIN-سوه-002-6715,سوهاج,Upper Egypt,26.63812,31.70033,120,Organic,2025-01-22
BIN-سوه-003-D044,سوهاج,Upper Egypt,26.46807,31.64151,120,Paper,2025-08-24
BIN-سوه-004-283B,سوهاج,Upper Egypt,26.66015,31.61187,660,Paper,2025-11-12
BIN-سوه-005-8CC7,سوهاج,Upper Egypt,26.58538,31.68693,240,Organic,2025-03-15
BIN-سوه-006-8413,سوهاج,Upper Egypt,26.5206,31.66277,240,Plastic,2024-12-05
BIN-سوه-007-A442,سوهاج,Upper Egypt,26.58257,31.68345,1100,Organic,2025-05-05
BIN-الم-001-C37D,المنيا,Upper Egypt,28.05916,30.77028,240,Organic,2025-04-12
BIN-الم-002-D8B2,المنيا,Upper Egypt,28.0599,30.65493,1100,Organic,2025-04-29
BIN-الم-003-FD8F,المنيا,Upper Egypt,28.08238,30.73271,240,Organic,2025-06-10
BIN-الم-004-BDF6,المنيا,Upper Egypt,28.05217,30.77116,660,Paper,2025-03-18
BIN-الم-005-E212,المنيا,Upper Egypt,28.12102,30.78745,120,Plastic,2025-02-14
BIN-الم-006-C176,المنيا,Upper Egypt,28.04138,30.75068,660,Plastic,2025-07-22
BIN-الم-007-5C76,المنيا,Upper Egypt,28.19589,30.75579,120,Plastic,2024-12-27
BIN-الس-001-3929,السويس,Canal & Sinai,29.99404,32.53128,660,Glass,2025-08-08
BIN-الس-002-DE48,السويس,Canal & Sinai,29.94666,32.43035,660,Organic,2025-01-20
BIN-الس-003-3B31,السويس,Canal & Sinai,30.02051,32.50663,660,Organic,2025-10-19
BIN-الس-004-8448,السويس,Canal & Sinai,29.93419,32.69502,240,Organic,2025-02-20
BIN-قنا-001-DF6E,قنا,Upper Egypt,26.1138,32.76987,1100,Plastic,2024-12-02
BIN-قنا-002-29D2,قنا,Upper Egypt,26.10184,32.79615,660,Plastic,2025-10-11
BIN-قنا-003-B92C,قنا,Upper Egypt,26.12855,32.8033,1100,Plastic,2025-02-26
BIN-قنا-004-C10E,قنا,Upper Egypt,26.24898,32.69429,240,Mixed,2025-09-27
BIN-الش-001-F2B3,الشرقية,Delta,30.52576,31.42733,660,Plastic,2025-06-01
BIN-الش-002-6CE8,الشرقية,Delta,30.53437,31.49776,1100,Paper,2024-12-28
BIN-الش-003-54F0,الشرقية,Delta,30.54177,31.55601,240,Organic,2025-09-23
BIN-الش-004-BD2C,الشرقية,Delta,30.54853,31.53491,240,Plastic,2025-08-11
BIN-الش-005-72E5,الشرقية,Delta,30.58362,31.51772,120,Paper,2025-03-17
BIN-الش-006-1160,الشرقية,Delta,30.50041,31.58217,1100,Glass,2025-06-09
BIN-الش-007-E4BD,الشرقية,Delta,30.60951,31.3574,240,Glass,2024-12-11
BIN-الش-008-9246,الشرقية,Delta,30.52337,31.54486,660,Plastic,2025-03-07
BIN-الش-009-CD66,الشرقية,Delta,30.53745,31.51613,240,Mixed,2024-12-09
BIN-الش-010-5C61,الشرقية,Delta,30.60264,31.61128,1100,Organic,2025-02-28
BIN-الش-011-DCE7,الشرقية,Delta,30.48859,31.42514,660,Plastic,2025-02-18
BIN-الش-012-5B98,الشرقية,Delta,30.63646,31.5165,240,Organic,2024-12-06
BIN-أسي-001-8D18,أسيوط,Upper Egypt,27.10134,31.22873,240,Organic,2025-11-14
BIN-أسي-002-B928,أسيوط,Upper Egypt,27.26537,31.15946,240,Plastic,2025-12-01
BIN-أسي-003-0C0B,أسيوط,Upper Egypt,27.14112,31.21417,1100,Mixed,2025-07-07
BIN-أسي-004-206A,أسيوط,Upper Egypt,27.26006,31.12346,240,Organic,2025-01-21
BIN-أسي-005-9944,أسيوط,Upper Egypt,27.33126,31.16158,660,Organic,2025-04-28
BIN-أسي-006-6653,أسيوط,Upper Egypt,27.16113,31.1745,1100,Organic,2025-09-24
BIN-أسي-007-86AE,أسيوط,Upper Egypt,27.20977,31.09624,240,Mixed,2025-02-07
BIN-أسو-001-7C4E,أسوان,Upper Egypt,24.07845,32.99987,120,Organic,2025-11-08
BIN-أسو-002-2113,أسوان,Upper Egypt,24.10806,32.84766,1100,Organic,2025-04-12
BIN-أسو-003-398D,أسوان,Upper Egypt,24.06947,32.79828,1100,Plastic,2025-02-27
BIN-أسو-004-4D9A,أسوان,Upper Egypt,24.06836,32.8949,240,Organic,2025-09-07
BIN-الب-001-79B9,البحيرة,Delta,31.09802,30.33309,660,Organic,2025-10-25
BIN-الب-002-9208,البحيرة,Delta,30.90168,30.41038,1100,Plastic,2025-06-17
BIN-الب-003-F468,البحيرة,Delta,31.10768,30.4535,1100,Organic,2025-10-22
BIN-الب-004-8FCE,البحيرة,Delta,31.10385,30.40964,240,Organic,2025-09-17
BIN-الب-005-1B4A,البحيرة,Delta,31.02761,30.50705,120,Organic,2025-12-02
BIN-الب-006-2D95,البحيرة,Delta,30.9788,30.46747,120,Plastic,2025-05-28
BIN-الب-007-21C5,البحيرة,Delta,30.94709,30.50934,660,Metal,2025-02-17
BIN-الب-008-C5B3,البحيرة,Delta,31.03513,30.53588,660,Plastic,2025-09-04
BIN-الب-009-08E3,البحيرة,Delta,30.98553,30.55587,660,Mixed,2025-08-02
BIN-الب-010-6FE8,البحيرة,Delta,30.97249,30.40103,1100,Organic,2025-03-14
BIN-الب-011-7828,البحيرة,Delta,31.07382,30.45694,120,Organic,2024-12-28
BIN-الب-012-1644,البحيرة,Delta,31.08757,30.51662,120,Paper,2025-10-23
BIN-الد-001-1BFC,الدقهلية,Delta,31.07928,31.40505,240,Organic,2025-09-13
BIN-الد-002-AD32,الدقهلية,Delta,31.0853,31.41671,1100,Organic,2025-11-21
BIN-الد-003-3694,الدقهلية,Delta,31.04592,31.34513,660,Paper,2025-03-09
BIN-الد-004-9031,الدقهلية,Delta,31.14464,31.46005,120,Plastic,2025-01-07
BIN-الد-005-4527,الدقهلية,Delta,31.04162,31.39067,660,Organic,2025-03-21
BIN-الد-006-15C1,الدقهلية,Delta,31.04452,31.30034,240,Organic,2025-12-01
BIN-الد-007-ACB4,الدقهلية,Delta,31.14875,31.43215,240,Mixed,2025-10-17
BIN-الد-008-0D1B,الدقهلية,Delta,31.04355,31.36633,120,Organic,2025-04-16
BIN-الد-009-5010,الدقهلية,Delta,30.99613,31.30348,120,Paper,2025-08-15
BIN-الق-001-A671,القليوبية,Greater Cairo,30.48187,31.16976,1100,Mixed,2025-10-29
BIN-الق-002-9A85,القليوبية,Greater Cairo,30.44258,31.21465,240,Mixed,2025-10-08
BIN-الق-003-71BE,القليوبية,Greater Cairo,30.43783,31.28627,1100,Mixed,2025-01-19
BIN-الق-004-4DA8,القليوبية,Greater Cairo,30.39698,31.073,1100,Metal,2025-03-06
BIN-الق-005-BD97,القليوبية,Greater Cairo,30.46856,31.19294,120,Paper,2025-03-03
BIN-الق-006-AF61,القليوبية,Greater Cairo,30.49046,31.29369,240,Mixed,2025-10-25
BIN-الق-007-1243,القليوبية,Greater Cairo,30.42153,31.14634,660,Organic,2025-10-27
BIN-الق-008-9D9B,القليوبية,Greater Cairo,30.57694,31.17984,120,Organic,2024-12-05
BIN-الق-009-80D0,القليوبية,Greater Cairo,30.57192,31.1944,660,Organic,2025-07-09
BIN-الج-001-7CEA,الجيزة,Greater Cairo,29.9944,31.27186,240,Paper,2025-04-30
BIN-الج-002-5FAC,الجيزة,Greater Cairo,30.04183,31.11676,1100,Glass,2025-07-06
BIN-الج-003-E29F,الجيزة,Greater Cairo,30.00425,31.3042,660,Organic,2024-12-19
BIN-الج-004-A582,الجيزة,Greater Cairo,29.99957,31.13228,240,Metal,2025-08-27
BIN-الج-005-CD0E,الجيزة,Greater Cairo,29.96799,31.23272,120,Organic,2025-06-19
BIN-الج-006-20B5,الجيزة,Greater Cairo,30.07234,31.27835,660,Organic,2025-01-13
BIN-الج-007-3149,الجيزة,Greater Cairo,30.04486,31.29071,240,Organic,2025-09-03
BIN-الج-008-8157,الجيزة,Greater Cairo,29.96108,31.21605,120,Plastic,2025-02-18
BIN-الج-009-4632,الجيزة,Greater Cairo,30.12603,31.19872,240,Plastic,2025-05-18
BIN-الج-010-841C,الجيزة,Greater Cairo,30.01764,31.20926,120,Plastic,2024-12-15
BIN-الج-011-AC88,الجيزة,Greater Cairo,30.11194,31.22748,240,Organic,2025-05-11
BIN-الج-012-F765,الجيزة,Greater Cairo,30.00783,31.26532,240,Mixed,2025-10-19
BIN-الج-013-8F50,الجيزة,Greater Cairo,30.06628,31.23835,120,Organic,2025-06-13
BIN-الج-014-BB1D,الجيزة,Greater Cairo,29.99176,31.22905,1100,Glass,2024-12-02
BIN-الج-015-26C0,الجيزة,Greater Cairo,29.7942,31.10549,1100,Mixed,2025-10-07
BIN-الج-016-C004,الجيزة,Greater Cairo,29.94335,31.16617,1100,Glass,2025-07-29
BIN-الج-017-7CA1,الجيزة,Greater Cairo,30.14768,31.20878,660,Organic,2025-02-12
BIN-الج-018-21D9,الجيزة,Greater Cairo,30.02096,31.14876,240,Organic,2025-04-10
BIN-الج-019-7C7F,الجيزة,Greater Cairo,29.93122,31.19355,1100,Plastic,2025-11-10
BIN-الج-020-F92E,الجيزة,Greater Cairo,30.01518,31.19193,1100,Organic,2025-04-13
BIN-الج-021-073B,الجيزة,Greater Cairo,30.05011,31.14892,240,Plastic,2025-03-09
BIN-الج-022-3580,الجيزة,Greater Cairo,29.98836,31.12389,120,Mixed,2025-06-11
BIN-الغ-001-1E59,الغربية,Delta,30.80766,31.04641,660,Mixed,2025-05-28
BIN-الغ-002-8973,الغربية,Delta,30.83593,30.99684,240,Organic,2025-07-29
BIN-الغ-003-6208,الغربية,Delta,30.82453,31.00058,1100,Paper,2025-10-30
BIN-الغ-004-E470,الغربية,Delta,30.76401,31.04577,240,Organic,2025-11-25
BIN-الغ-005-863B,الغربية,Delta,30.87304,30.97036,1100,Organic,2025-01-18
BIN-الغ-006-5A91,الغربية,Delta,30.72524,31.00353,1100,Organic,2025-08-23
BIN-الغ-007-954C,الغربية,Delta,30.82368,31.02079,1100,Organic,2024-12-31
BIN-الغ-008-8535,الغربية,Delta,30.82347,30.87392,1100,Paper,2024-12-15
BIN-الق-001-7706,القاهرة,Greater Cairo,30.04914,31.30372,240,Plastic,2025-10-07
BIN-الق-002-1C22,القاهرة,Greater Cairo,29.98508,31.26272,120,Plastic,2025-12-02
BIN-الق-003-BF6B,القاهرة,Greater Cairo,30.03025,31.22465,240,Metal,2025-04-05
BIN-الق-004-43A1,القاهرة,Greater Cairo,30.03849,31.22107,120,Metal,2025-01-18
BIN-الق-005-C3DA,القاهرة,Greater Cairo,30.02862,31.19455,120,Organic,2025-10-29
BIN-الق-006-1265,القاهرة,Greater Cairo,30.12171,31.2394,240,Plastic,2025-02-27
BIN-الق-007-3F0C,القاهرة,Greater Cairo,30.04463,31.33883,240,Organic,2025-07-19
BIN-الق-008-244D,القاهرة,Greater Cairo,30.01181,31.23657,1100,Organic,2025-10-20
BIN-الق-009-DB63,القاهرة,Greater Cairo,30.02135,31.29684,120,Organic,2025-02-01
BIN-الق-010-EF4A,القاهرة,Greater Cairo,30.10216,31.25206,1100,Plastic,2025-04-05
BIN-الق-011-ACD5,القاهرة,Greater Cairo,30.05104,31.23578,1100,Metal,2024-12-07
BIN-الق-012-50E1,القاهرة,Greater Cairo,29.95934,31.16448,240,Organic,2025-04-04
BIN-الق-013-D4F3,القاهرة,Greater Cairo,29.95396,31.17659,660,Metal,2025-05-13
BIN-الق-014-ED3A,القاهرة,Greater Cairo,30.1525,31.211,660,Paper,2025-11-14
BIN-الق-015-5B83,القاهرة,Greater Cairo,29.92991,31.22869,240,Glass,2025-07-01
BIN-الق-016-7384,القاهرة,Greater Cairo,29.94839,31.18998,120,Organic,2025-07-13
BIN-الق-017-781D,القاهرة,Greater Cairo,30.06945,31.15647,240,Paper,2025-05-08
BIN-الق-018-7AEA,القاهرة,Greater Cairo,30.08237,31.23506,120,Mixed,2025-09-15
BIN-الق-019-7A6A,القاهرة,Greater Cairo,30.06632,31.27248,1100,Plastic,2025-01-07
BIN-الق-020-3181,القاهرة,Greater Cairo,30.10485,31.2203,240,Organic,2025-11-10
BIN-الق-021-13FD,القاهرة,Greater Cairo,30.16203,31.16202,240,Organic,2025-03-26
BIN-الق-022-7B9F,القاهرة,Greater Cairo,29.9809,31.15635,120,Organic,2025-06-29
BIN-الق-023-BC28,القاهرة,Greater Cairo,30.03826,31.19667,120,Organic,2025-08-06
BIN-الق-024-85C5,القاهرة,Greater Cairo,29.99163,31.3726,240,Paper,2025-08-27
BIN-الق-025-F617,القاهرة,Greater Cairo,30.01506,31.22454,120,Organic,2024-12-24
BIN-الق-026-6FE9,القاهرة,Greater Cairo,29.96172,31.12706,240,Organic,2025-04-17
BIN-الق-027-3E95,القاهرة,Greater Cairo,30.1239,31.23303,120,Plastic,2025-02-02
BIN-الق-028-F003,القاهرة,Greater Cairo,30.09135,31.18165,120,Organic,2025-07-07
BIN-الق-029-764F,القاهرة,Greater Cairo,30.0098,31.26927,1100,Organic,2025-02-07
BIN-الق-030-9A1D,القاهرة,Greater Cairo,29.97703,31.16465,660,Mixed,2025-06-03
BIN-الق-031-9FA7,القاهرة,Greater Cairo,30.04959,31.25532,1100,Organic,2025-04-30
BIN-الق-032-A16B,القاهرة,Greater Cairo,30.07863,31.27279,1100,Metal,2025-10-25
BIN-الق-033-955B,القاهرة,Greater Cairo,29.98432,31.33672,660,Plastic,2025-07-04
BIN-الق-034-2F23,القاهرة,Greater Cairo,30.04848,31.21097,1100,Organic,2024-12-22
BIN-الق-035-0E2A,القاهرة,Greater Cairo,29.95084,31.29374,1100,Plastic,2025-05-06
BIN-الق-036-99A5,القاهرة,Greater Cairo,30.06252,31.19218,240,Organic,2025-08-06
BIN-الق-037-459B,القاهرة,Greater Cairo,30.04209,31.34008,240,Paper,2025-10-02
BIN-الق-038-0DFC,القاهرة,Greater Cairo,30.05024,31.28345,1100,Glass,2025-05-08
BIN-الق-039-E7D8,القاهرة,Greater Cairo,30.03747,31.18554,1100,Plastic,2024-12-24
BIN-الق-040-027B,القاهرة,Greater Cairo,30.08001,31.32792,660,Organic,2024-12-18
BIN-الق-041-C229,القاهرة,Greater Cairo,30.06678,31.19828,1100,Organic,2025-12-01
BIN-الق-042-9BC5,القاهرة,Greater Cairo,30.1416,31.25752,120,Glass,2025-11-23
BIN-الق-043-FBE4,القاهرة,Greater Cairo,29.91416,31.11485,120,Organic,2025-06-13
BIN-الأ-001-34BD,الأسكندرية,Coastal & Red Sea,31.24837,29.87819,120,Organic,2025-08-19
BIN-الأ-002-6AB0,الأسكندرية,Coastal & Red Sea,31.31027,29.90652,1100,Plastic,2025-05-24
BIN-الأ-003-C9BE,الأسكندرية,Coastal & Red Sea,31.27152,29.87307,660,Organic,2025-03-30
BIN-الأ-004-748D,الأسكندرية,Coastal & Red Sea,31.10633,29.93243,660,Plastic,2025-06-15
