date,region,temperature_c,rainfall_mm,is_holiday,is_festival,is_weekend,traffic_level
2026-01-01,Greater Cairo,11.1,0.0,False,False,False,Low
2026-01-02,Greater Cairo,19.5,0.0,False,False,True,Low
2026-01-03,Greater Cairo,23.0,0.0,False,False,True,Medium
2026-01-04,Greater Cairo,21.3,0.0,False,False,False,High
2026-01-05,Greater Cairo,17.9,0.0,False,False,False,Medium
2026-01-06,Greater Cairo,18.7,0.0,False,False,False,High
2026-01-07,Greater Cairo,22.9,0.0,True,False,False,Medium
2026-01-08,Greater Cairo,17.3,0.0,False,False,False,Medium
2026-01-09,Greater Cairo,23.0,0.0,False,False,True,Medium
2026-01-10,Greater Cairo,14.3,0.0,False,False,True,Medium
2026-01-11,Greater Cairo,15.8,0.0,False,False,False,Low
2026-01-12,Greater Cairo,25.4,0.0,False,False,False,Medium
2026-01-13,Greater Cairo,20.3,0.0,False,False,False,Low
2026-01-14,Greater Cairo,16.7,0.0,False,False,False,Low
2026-01-15,Greater Cairo,15.7,0.0,False,False,False,High
2026-01-16,Greater Cairo,20.6,0.0,False,False,True,Low
2026-01-17,Greater Cairo,16.3,0.0,False,False,True,High
2026-01-18,Greater Cairo,23.0,0.0,False,False,False,Low
2026-01-19,Greater Cairo,26.9,0.0,False,False,False,High
2026-01-20,Greater Cairo,18.1,0.0,False,False,False,Medium
2026-01-21,Greater Cairo,19.6,0.0,False,False,False,Medium
2026-01-22,Greater Cairo,14.4,0.0,False,False,False,Low
2026-01-23,Greater Cairo,20.6,0.0,False,False,True,High
2026-01-24,Greater Cairo,14.3,0.0,False,False,True,Low
2026-01-25,Greater Cairo,18.9,0.0,True,False,False,Medium
2026-01-26,Greater Cairo,6.2,0.0,False,False,False,Medium
2026-01-27,Greater Cairo,15.3,0.0,False,False,False,Medium
2026-01-28,Greater Cairo,23.8,0.0,False,False,False,Low
2026-01-29,Greater Cairo,27.3,0.0,False,False,False,High
2026-01-30,Greater Cairo,15.6,0.0,False,False,True,Medium
2026-01-31,Greater Cairo,17.6,0.0,False,False,True,Low
2026-02-01,Greater Cairo,17.5,0.0,False,False,False,Medium
2026-02-02,Greater Cairo,25.1,0.0,False,False,False,Medium
2026-02-03,Greater Cairo,15.1,0.0,False,False,False,Medium
2026-02-04,Greater Cairo,22.0,0.0,False,False,False,Medium
2026-02-05,Greater Cairo,12.6,0.0,False,False,False,Medium
2026-02-06,Greater Cairo,18.4,0.0,False,False,True,Medium
2026-02-07,Greater Cairo,9.0,0.0,False,False,True,Low
2026-02-08,Greater Cairo,26.4,0.0,False,False,False,Low
2026-02-09,Greater Cairo,24.8,0.0,False,False,False,Medium
2026-02-10,Greater Cairo,18.5,0.0,False,False,False,Medium
2026-02-11,Greater Cairo,14.8,0.0,False,False,False,Medium
2026-02-12,Greater Cairo,19.3,0.0,False,False,False,Medium
2026-02-13,Greater Cairo,17.9,0.0,False,False,True,Medium
2026-02-14,Greater Cairo,16.6,0.0,False,False,True,Medium
2026-02-15,Greater Cairo,13.4,0.0,False,False,False,Medium
2026-02-16,Greater Cairo,15.7,0.0,False,False,False,Medium
2026-02-17,Greater Cairo,19.3,0.0,False,False,False,Medium
2026-02-18,Greater Cairo,9.6,0.0,False,False,False,Medium
2026-02-19,Greater Cairo,18.5,0.0,False,False,False,Medium
2026-02-20,Greater Cairo,21.6,0.0,False,False,True,Low
2026-02-21,Greater Cairo,18.8,0.0,False,False,True,Low
2026-02-22,Greater Cairo,16.7,0.0,False,False,False,High
2026-02-23,Greater Cairo,7.0,0.0,False,False,False,High
2026-02-24,Greater Cairo,16.3,0.0,False,False,False,Low
2026-02-25,Greater Cairo,17.3,0.0,False,False,False,Medium
2026-02-26,Greater Cairo,20.2,0.0,False,False,False,Medium
2026-02-27,Greater Cairo,13.3,0.0,False,False,True,Low
2026-02-28,Greater Cairo,21.0,0.0,False,False,True,High
2026-03-01,Greater Cairo,24.1,0.0,False,False,False,Medium
2026-03-02,Greater Cairo,18.9,0.0,False,False,False,Medium
2026-03-03,Greater Cairo,17.1,0.0,False,False,False,Medium
2026-03-04,Greater Cairo,20.2,0.0,False,False,False,Low
2026-03-05,Greater Cairo,15.1,0.0,False,False,False,Medium
2026-03-06,Greater Cairo,12.5,0.0,False,False,True,Low
2026-03-07,Greater Cairo,21.1,0.0,False,False,True,Low
2026-03-08,Greater Cairo,16.4,0.0,False,False,False,Medium
2026-03-09,Greater Cairo,13.4,0.0,False,False,False,Low
2026-03-10,Greater Cairo,13.3,0.0,False,False,False,Medium
2026-03-11,Greater Cairo,11.7,0.0,False,False,False,High
2026-03-12,Greater Cairo,19.4,0.0,False,False,False,High
2026-03-13,Greater Cairo,13.0,3.3,False,False,True,High
2026-03-14,Greater Cairo,19.4,0.0,False,False,True,Medium
2026-03-15,Greater Cairo,20.2,0.0,False,False,False,Medium
2026-03-16,Greater Cairo,11.5,0.0,False,False,False,Low
2026-03-17,Greater Cairo,14.1,0.0,False,False,False,Medium
2026-03-18,Greater Cairo,12.4,0.0,False,True,False,Medium
2026-03-19,Greater Cairo,19.5,0.0,False,True,False,Medium
2026-03-20,Greater Cairo,19.0,0.0,True,True,True,Medium
2026-03-21,Greater Cairo,17.8,0.0,False,True,True,Low
2026-03-22,Greater Cairo,12.3,0.0,False,False,False,Medium
2026-03-23,Greater Cairo,20.0,0.0,False,False,False,High
