truck_id,date,region,status,distance_km,fuel_consumed_l,load_kg,avg_speed_kmh,stops_completed,trip_duration_min
TRK-GRE-01,2026-01-01,Greater Cairo,Completed,35.9,12.8,3146,21.1,20,102.1
TRK-GRE-02,2026-01-01,Greater Cairo,Completed,65.6,23.5,2813,18.3,24,215.1
TRK-GRE-03,2026-01-01,Greater Cairo,Completed,74.9,25.2,7295,19.1,11,235.3
TRK-GRE-04,2026-01-01,Greater Cairo,Completed,32.7,11.7,11262,44.7,24,43.9
TRK-GRE-05,2026-01-01,Greater Cairo,Completed,64.8,26.6,3563,31.5,13,123.4
TRK-DEL-01,2026-01-01,Delta,Completed,101.8,36.9,5596,32.4,20,188.5
TRK-DEL-02,2026-01-01,Delta,Completed,57.9,19.1,1374,32.1,8,108.2
TRK-DEL-03,2026-01-01,Delta,Completed,100.3,35.7,4674,38.9,8,154.7
TRK-DEL-04,2026-01-01,Delta,Completed,76.9,26.7,2552,28.3,16,163.0
TRK-CAN-01,2026-01-01,Canal & Sinai,Completed,92.9,35.2,2213,26.5,11,210.3
TRK-CAN-02,2026-01-01,Canal & Sinai,Completed,53.7,19.0,10039,23.0,16,140.1
TRK-UPP-01,2026-01-01,Upper Egypt,Completed,76.7,31.4,3468,28.4,9,162.0
TRK-UPP-02,2026-01-01,Upper Egypt,Completed,32.7,10.7,3944,36.9,17,53.2
TRK-UPP-03,2026-01-01,Upper Egypt,Completed,58.9,24.5,6663,15.8,16,223.7
TRK-COA-01,2026-01-01,Coastal & Red Sea,Completed,97.7,40.9,2552,20.3,14,288.8
TRK-COA-02,2026-01-01,Coastal & Red Sea,Completed,71.3,27.8,6962,30.6,12,139.8
TRK-COA-03,2026-01-01,Coastal & Red Sea,Completed,114.2,44.6,1918,19.9,18,344.3
TRK-GRE-01,2026-01-02,Greater Cairo,Completed,33.4,11.4,4511,43.4,21,46.2
TRK-GRE-02,2026-01-02,Greater Cairo,Completed,62.5,25.4,2511,36.6,21,102.5
TRK-GRE-03,2026-01-02,Greater Cairo,Completed,81.4,32.6,4932,28.5,18,171.4
TRK-GRE-04,2026-01-02,Greater Cairo,Completed,32.5,11.0,8976,35.1,23,55.6
TRK-GRE-05,2026-01-02,Greater Cairo,Completed,40.9,16.9,3409,18.6,9,131.9
TRK-DEL-01,2026-01-02,Delta,Completed,85.0,33.0,5874,30.5,19,167.2
TRK-DEL-02,2026-01-02,Delta,Completed,62.9,21.6,2304,21.9,10,172.3
TRK-DEL-03,2026-01-02,Delta,Completed,100.5,38.8,2546,35.7,11,168.9
TRK-DEL-04,2026-01-02,Delta,Completed,50.8,19.1,2246,16.8,17,181.4
TRK-CAN-01,2026-01-02,Canal & Sinai,Fuel Anomaly,33.5,20.6,4350,21.1,8,95.3
TRK-CAN-02,2026-01-02,Canal & Sinai,Completed,88.8,34.3,8548,19.5,24,273.2
TRK-UPP-01,2026-01-02,Upper Egypt,Completed,45.1,18.9,5022,28.7,22,94.3
TRK-UPP-02,2026-01-02,Upper Egypt,Completed,49.1,18.8,7120,20.3,19,145.1
TRK-UPP-03,2026-01-02,Upper Egypt,Completed,57.2,21.2,5509,27.1,17,126.6
TRK-COA-01,2026-01-02,Coastal & Red Sea,Completed,97.1,32.9,2297,31.2,16,186.7
TRK-COA-02,2026-01-02,Coastal & Red Sea,Completed,92.9,34.9,5480,32.5,12,171.5
TRK-COA-03,2026-01-02,Coastal & Red Sea,Completed,39.1,16.1,1257,15.7,19,149.4
TRK-GRE-01,2026-01-03,Greater Cairo,Completed,52.1,19.4,3268,38.0,21,82.3
TRK-GRE-02,2026-01-03,Greater Cairo,Completed,67.7,23.8,2234,15.8,21,257.1
TRK-GRE-03,2026-01-03,Greater Cairo,Completed,39.3,15.1,10575,21.2,19,111.2
TRK-GRE-04,2026-01-03,Greater Cairo,Completed,34.3,13.7,10453,25.0,13,82.3
TRK-GRE-05,2026-01-03,Greater Cairo,Completed,68.8,25.1,2726,31.5,19,131.0
TRK-DEL-01,2026-01-03,Delta,Completed,66.1,23.7,10522,30.0,22,132.2
TRK-DEL-02,2026-01-03,Delta,Completed,65.0,27.0,1869,35.3,18,110.5
TRK-DEL-03,2026-01-03,Delta,Completed,87.7,30.4,4310,25.4,22,207.2
TRK-DEL-04,2026-01-03,Delta,Completed,51.2,17.0,1736,24.1,9,127.5
TRK-CAN-01,2026-01-03,Canal & Sinai,Completed,87.4,35.3,3881,16.3,18,321.7
TRK-CAN-02,2026-01-03,Canal & Sinai,Completed,81.5,30.8,6648,35.4,9,138.1
TRK-UPP-01,2026-01-03,Upper Egypt,Completed,47.8,18.3,4091,30.8,24,93.1
TRK-UPP-02,2026-01-03,Upper Egypt,Under Maintenance,0.0,0.0,0,0.0,0,0.0
TRK-UPP-03,2026-01-03,Upper Egypt,Completed,84.9,32.0,6054,20.5,20,248.5
TRK-COA-01,2026-01-03,Coastal & Red Sea,Completed,46.7,16.8,1954,30.9,15,90.7
TRK-COA-02,2026-01-03,Coastal & Red Sea,Completed,85.8,28.7,10165,32.0,9,160.9
TRK-COA-03,2026-01-03,Coastal & Red Sea,Completed,100.6,38.5,1223,38.9,22,155.2
TRK-GRE-01,2026-01-04,Greater Cairo,Completed,117.6,48.2,3447,23.8,19,296.5
TRK-GRE-02,2026-01-04,Greater Cairo,Completed,34.1,14.1,2522,30.1,11,68.0
TRK-GRE-03,2026-01-04,Greater Cairo,Completed,61.3,22.0,5994,17.2,17,213.8
TRK-GRE-04,2026-01-04,Greater Cairo,Completed,76.1,30.7,4821,19.0,23,240.3
TRK-GRE-05,2026-01-04,Greater Cairo,Completed,75.4,29.8,4714,28.0,20,161.6
TRK-DEL-01,2026-01-04,Delta,Under Maintenance,0.0,0.0,0,0.0,0,0.0
TRK-DEL-02,2026-01-04,Delta,Completed,45.4,16.7,2148,39.4,18,69.1
TRK-DEL-03,2026-01-04,Delta,Completed,87.6,29.7,3795,19.7,20,266.8
TRK-DEL-04,2026-01-04,Delta,Completed,81.4,28.8,2440,41.3,10,118.3
TRK-CAN-01,2026-01-04,Canal & Sinai,Completed,62.0,21.8,2122,39.7,16,93.7
TRK-CAN-02,2026-01-04,Canal & Sinai,Completed,86.2,29.9,7113,33.4,15,154.9
