worker_id,date,present,completed_tasks,overtime_hours,performance_score
WRK-الو-001,2026-01-01,True,8,0.4,74.5
WRK-الو-002,2026-01-01,True,4,0.0,89.1
WRK-مطر-001,2026-01-01,True,8,0.1,75.9
WRK-مطر-002,2026-01-01,False,0,0.0,
WRK-شما-001,2026-01-01,True,7,0.0,89.9
WRK-شما-002,2026-01-01,True,8,1.4,82.8
WRK-جنو-001,2026-01-01,True,4,0.9,82.2
WRK-جنو-002,2026-01-01,True,10,0.7,73.2
WRK-الأ-001,2026-01-01,True,4,0.8,85.2
WRK-الأ-002,2026-01-01,True,8,2.7,84.7
WRK-الف-001,2026-01-01,True,10,0.7,88.5
WRK-الف-002,2026-01-01,True,10,0.0,82.3
WRK-الف-003,2026-01-01,True,10,1.6,85.2
WRK-الف-004,2026-01-01,True,11,0.0,91.9
WRK-الب-001,2026-01-01,True,7,0.9,74.1
WRK-الب-002,2026-01-01,True,10,0.0,74.5
WRK-كفر-001,2026-01-01,True,4,0.0,86.9
WRK-كفر-002,2026-01-01,True,12,1.0,94.1
WRK-كفر-003,2026-01-01,True,10,0.6,74.1
WRK-كفر-004,2026-01-01,True,10,1.5,91.4
WRK-بني-001,2026-01-01,False,0,0.0,
WRK-بني-002,2026-01-01,True,8,1.6,86.7
WRK-بور-001,2026-01-01,False,0,0.0,
WRK-بور-002,2026-01-01,True,8,2.5,58.5
WRK-دمي-001,2026-01-01,True,7,0.1,78.0
WRK-دمي-002,2026-01-01,True,5,1.0,69.6
WRK-الإ-001,2026-01-01,True,5,0.3,66.5
WRK-الإ-002,2026-01-01,True,13,0.5,67.4
WRK-الم-001,2026-01-01,True,13,0.6,75.7
WRK-الم-002,2026-01-01,True,13,1.7,84.7
WRK-الم-003,2026-01-01,True,10,0.0,69.1
WRK-الم-004,2026-01-01,True,7,0.0,70.2
WRK-سوه-001,2026-01-01,False,0,0.0,
WRK-سوه-002,2026-01-01,True,10,0.0,86.6
WRK-سوه-003,2026-01-01,True,10,1.5,80.6
WRK-سوه-004,2026-01-01,True,9,1.4,72.3
WRK-الم-001,2026-01-01,True,9,0.0,85.4
WRK-الم-002,2026-01-01,True,13,1.5,84.2
WRK-الم-003,2026-01-01,True,13,1.6,75.5
WRK-الم-004,2026-01-01,True,13,0.9,69.7
WRK-الس-001,2026-01-01,True,11,0.0,84.1
WRK-الس-002,2026-01-01,True,9,0.0,68.0
WRK-قنا-001,2026-01-01,True,12,0.0,77.3
WRK-قنا-002,2026-01-01,True,9,0.0,89.2
WRK-الش-001,2026-01-01,True,10,1.2,86.4
WRK-الش-002,2026-01-01,True,13,0.0,100.0
WRK-الش-003,2026-01-01,True,7,0.0,60.9
WRK-الش-004,2026-01-01,True,6,2.4,74.7
WRK-الش-005,2026-01-01,True,4,0.0,76.6
WRK-الش-006,2026-01-01,True,8,0.5,69.3
WRK-أسي-001,2026-01-01,True,7,0.0,74.7
WRK-أسي-002,2026-01-01,True,11,1.7,82.6
WRK-أسي-003,2026-01-01,True,12,1.2,76.5
WRK-أسي-004,2026-01-01,True,12,0.0,83.3
WRK-أسو-001,2026-01-01,True,11,1.2,79.1
WRK-أسو-002,2026-01-01,True,7,2.0,83.2
WRK-الب-001,2026-01-01,True,12,1.1,88.4
WRK-الب-002,2026-01-01,True,6,3.4,89.1
WRK-الب-003,2026-01-01,True,13,0.2,80.2
WRK-الب-004,2026-01-01,True,10,2.0,78.9
WRK-الب-005,2026-01-01,False,0,0.0,
WRK-الب-006,2026-01-01,True,10,0.0,83.5
WRK-الد-001,2026-01-01,True,8,0.9,84.9
WRK-الد-002,2026-01-01,True,4,1.9,96.0
WRK-الد-003,2026-01-01,True,12,0.0,79.5
WRK-الد-004,2026-01-01,True,6,1.1,83.1
WRK-الق-001,2026-01-01,True,6,1.2,78.6
WRK-الق-002,2026-01-01,True,9,0.2,80.2
WRK-الق-003,2026-01-01,True,12,0.0,76.6
WRK-الق-004,2026-01-01,True,6,0.5,83.0
WRK-الج-001,2026-01-01,True,4,0.0,87.3
WRK-الج-002,2026-01-01,True,13,0.0,59.2
WRK-الج-003,2026-01-01,True,8,0.4,86.3
WRK-الج-004,2026-01-01,True,11,0.0,98.4
WRK-الج-005,2026-01-01,False,0,0.0,
WRK-الج-006,2026-01-01,True,11,0.0,73.9
WRK-الج-007,2026-01-01,True,4,0.8,92.8
WRK-الج-008,2026-01-01,True,8,1.0,84.5
WRK-الج-009,2026-01-01,True,4,1.0,68.1
WRK-الج-010,2026-01-01,True,7,0.6,63.3
WRK-الج-011,2026-01-01,True,12,1.2,68.9
WRK-الغ-001,2026-01-01,True,7,2.4,76.9
WRK-الغ-002,2026-01-01,True,12,0.0,84.9
WRK-الغ-003,2026-01-01,True,6,0.0,87.6
WRK-الغ-004,2026-01-01,True,11,1.7,84.3
WRK-الق-001,2026-01-01,True,5,0.5,91.3
WRK-الق-002,2026-01-01,True,8,0.4,84.5
WRK-الق-003,2026-01-01,True,11,0.8,68.9
WRK-الق-004,2026-01-01,True,11,0.0,86.6
WRK-الق-005,2026-01-01,True,10,0.5,74.5
WRK-الق-006,2026-01-01,True,9,0.0,79.5
WRK-الق-007,2026-01-01,True,12,1.2,83.8
WRK-الق-008,2026-01-01,False,0,0.0,
WRK-الق-009,2026-01-01,False,0,0.0,
WRK-الق-010,2026-01-01,True,10,2.0,80.3
WRK-الق-011,2026-01-01,True,11,3.0,72.6
WRK-الق-012,2026-01-01,True,4,1.3,72.6
WRK-الق-013,2026-01-01,True,4,0.1,86.1
WRK-الق-014,2026-01-01,True,11,0.1,87.8
WRK-الق-015,2026-01-01,False,0,0.0,
WRK-الق-016,2026-01-01,True,7,0.8,69.8
WRK-الق-017,2026-01-01,True,5,0.9,92.5
WRK-الق-018,2026-01-01,True,4,1.5,92.7
WRK-الق-019,2026-01-01,True,11,0.4,85.1
WRK-الق-020,2026-01-01,True,8,0.2,77.4
WRK-الق-021,2026-01-01,True,13,0.5,75.1
WRK-الق-022,2026-01-01,True,9,0.5,87.8
WRK-الأ-001,2026-01-01,True,6,0.0,74.1
WRK-الأ-002,2026-01-01,True,7,2.2,80.6
WRK-الأ-003,2026-01-01,True,8,0.0,91.4
WRK-الأ-004,2026-01-01,True,10,2.0,83.0
WRK-الأ-005,2026-01-01,True,6,0.0,76.7
WRK-الأ-006,2026-01-01,True,4,3.2,87.5
WRK-الو-001,2026-01-02,True,12,1.8,84.9
WRK-الو-002,2026-01-02,True,6,0.0,77.4
WRK-مطر-001,2026-01-02,True,5,0.0,78.9
WRK-مطر-002,2026-01-02,True,10,2.4,89.2
WRK-شما-001,2026-01-02,True,12,0.0,77.4
WRK-شما-002,2026-01-02,True,4,0.2,74.7
WRK-جنو-001,2026-01-02,True,6,0.9,92.1
WRK-جنو-002,2026-01-02,True,5,0.7,87.1
WRK-الأ-001,2026-01-02,True,8,0.6,82.5
WRK-الأ-002,2026-01-02,True,10,0.3,88.9
WRK-الف-001,2026-01-02,True,8,1.3,67.5
WRK-الف-002,2026-01-02,True,6,0.0,80.7
WRK-الف-003,2026-01-02,True,7,0.0,63.6
WRK-الف-004,2026-01-02,True,11,0.0,88.8
WRK-الب-001,2026-01-02,True,10,1.2,79.2
WRK-الب-002,2026-01-02,True,5,0.0,67.4
WRK-كفر-001,2026-01-02,True,9,0.5,76.5
WRK-كفر-002,2026-01-02,True,6,0.0,84.2
WRK-كفر-003,2026-01-02,True,5,0.0,66.9
WRK-كفر-004,2026-01-02,True,7,1.0,80.5
WRK-بني-001,2026-01-02,True,11,0.2,77.7
WRK-بني-002,2026-01-02,True,7,0.2,56.5
WRK-بور-001,2026-01-02,True,6,0.0,72.2
WRK-بور-002,2026-01-02,True,4,0.0,78.9
WRK-دمي-001,2026-01-02,True,7,0.1,93.5
WRK-دمي-002,2026-01-02,False,0,0.0,
WRK-الإ-001,2026-01-02,True,8,0.0,67.9
WRK-الإ-002,2026-01-02,True,9,1.6,91.8
WRK-الم-001,2026-01-02,True,7,0.0,67.1
WRK-الم-002,2026-01-02,True,10,0.0,84.8
WRK-الم-003,2026-01-02,True,12,0.0,82.0
WRK-الم-004,2026-01-02,True,12,0.0,88.2
WRK-سوه-001,2026-01-02,True,12,0.0,96.3
WRK-سوه-002,2026-01-02,True,7,0.6,76.2
WRK-سوه-003,2026-01-02,True,6,1.8,75.0
WRK-سوه-004,2026-01-02,True,12,1.5,83.6
WRK-الم-001,2026-01-02,True,9,0.8,100.0
WRK-الم-002,2026-01-02,True,7,0.7,96.1
WRK-الم-003,2026-01-02,True,6,0.1,79.2
WRK-الم-004,2026-01-02,True,7,0.7,100.0
WRK-الس-001,2026-01-02,True,12,1.4,75.6
WRK-الس-002,2026-01-02,True,11,0.0,81.8
WRK-قنا-001,2026-01-02,True,4,0.3,82.0
WRK-قنا-002,2026-01-02,True,5,0.3,82.0
WRK-الش-001,2026-01-02,True,8,0.2,99.9
WRK-الش-002,2026-01-02,True,12,1.5,85.9
WRK-الش-003,2026-01-02,True,6,0.4,74.7
WRK-الش-004,2026-01-02,True,7,0.3,76.4
WRK-الش-005,2026-01-02,True,6,0.0,97.8
WRK-الش-006,2026-01-02,True,13,0.3,81.7
WRK-أسي-001,2026-01-02,True,11,1.5,82.6
WRK-أسي-002,2026-01-02,True,10,0.9,66.4
WRK-أسي-003,2026-01-02,True,10,0.7,88.9
WRK-أسي-004,2026-01-02,True,8,0.0,82.0
WRK-أسو-001,2026-01-02,True,4,0.0,71.9
WRK-أسو-002,2026-01-02,True,4,1.5,79.6
WRK-الب-001,2026-01-02,True,6,0.0,86.3
WRK-الب-002,2026-01-02,False,0,0.0,
WRK-الب-003,2026-01-02,True,7,0.0,77.1
WRK-الب-004,2026-01-02,True,5,0.0,83.2
WRK-الب-005,2026-01-02,True,11,0.1,75.3
WRK-الب-006,2026-01-02,False,0,0.0,
WRK-الد-001,2026-01-02,True,12,0.0,79.0
WRK-الد-002,2026-01-02,True,9,0.0,84.9
WRK-الد-003,2026-01-02,True,10,0.0,76.7
WRK-الد-004,2026-01-02,True,4,0.5,67.5
WRK-الق-001,2026-01-02,True,11,0.9,73.2
WRK-الق-002,2026-01-02,True,5,0.0,75.4
WRK-الق-003,2026-01-02,True,6,0.3,77.8
WRK-الق-004,2026-01-02,True,8,0.0,46.8
WRK-الج-001,2026-01-02,True,5,0.7,89.5
WRK-الج-002,2026-01-02,True,6,1.3,73.8
WRK-الج-003,2026-01-02,False,0,0.0,
WRK-الج-004,2026-01-02,True,11,0.7,88.2
WRK-الج-005,2026-01-02,True,5,0.0,73.0
WRK-الج-006,2026-01-02,True,11,1.3,73.5
WRK-الج-007,2026-01-02,True,9,0.6,80.2
WRK-الج-008,2026-01-02,True,4,0.8,77.4
WRK-الج-009,2026-01-02,True,6,1.1,73.4
WRK-الج-010,2026-01-02,True,4,0.2,61.4
WRK-الج-011,2026-01-02,True,13,0.0,65.3
WRK-الغ-001,2026-01-02,True,8,1.1,73.6
WRK-الغ-002,2026-01-02,True,13,1.4,91.3
WRK-الغ-003,2026-01-02,True,7,0.5,100.0
WRK-الغ-004,2026-01-02,True,4,2.1,79.7
WRK-الق-001,2026-01-02,True,11,0.9,85.4
WRK-الق-002,2026-01-02,True,8,0.2,86.0
WRK-الق-003,2026-01-02,True,10,0.0,79.2
WRK-الق-004,2026-01-02,False,0,0.0,
WRK-الق-005,2026-01-02,True,6,0.8,82.8
WRK-الق-006,2026-01-02,True,9,1.5,82.0
WRK-الق-007,2026-01-02,True,12,0.0,92.7
WRK-الق-008,2026-01-02,True,12,0.7,84.1
WRK-الق-009,2026-01-02,True,7,1.0,79.7
WRK-الق-010,2026-01-02,True,7,0.0,68.2
WRK-الق-011,2026-01-02,False,0,0.0,
WRK-الق-012,2026-01-02,False,0,0.0,
WRK-الق-013,2026-01-02,True,6,0.0,49.2
WRK-الق-014,2026-01-02,True,9,0.1,74.1
WRK-الق-015,2026-01-02,True,11,0.0,77.6
WRK-الق-016,2026-01-02,True,4,0.8,65.1
WRK-الق-017,2026-01-02,True,8,0.0,81.4
WRK-الق-018,2026-01-02,True,7,2.3,100.0
WRK-الق-019,2026-01-02,True,6,0.0,92.7
WRK-الق-020,2026-01-02,True,13,0.9,66.7
WRK-الق-021,2026-01-02,True,9,0.8,99.2
WRK-الق-022,2026-01-02,True,11,0.0,63.7
WRK-الأ-001,2026-01-02,True,4,0.1,86.0
WRK-الأ-002,2026-01-02,True,10,0.8,84.3
WRK-الأ-003,2026-01-02,True,5,0.6,48.5
WRK-الأ-004,2026-01-02,True,5,1.1,78.4
WRK-الأ-005,2026-01-02,True,11,0.0,56.5
WRK-الأ-006,2026-01-02,True,7,0.0,69.6
WRK-الو-001,2026-01-03,True,6,0.4,82.1
WRK-الو-002,2026-01-03,True,8,0.6,98.2
WRK-مطر-001,2026-01-03,True,13,0.9,91.8
WRK-مطر-002,2026-01-03,True,5,2.1,77.9
WRK-شما-001,2026-01-03,True,8,0.3,87.0
WRK-شما-002,2026-01-03,True,12,0.0,73.4
WRK-جنو-001,2026-01-03,True,13,2.8,84.3
WRK-جنو-002,2026-01-03,True,9,0.3,100.0
WRK-الأ-001,2026-01-03,True,7,0.0,93.5
WRK-الأ-002,2026-01-03,True,13,0.7,81.0
WRK-الف-001,2026-01-03,True,13,0.0,74.6
WRK-الف-002,2026-01-03,True,11,1.1,64.7
WRK-الف-003,2026-01-03,True,9,0.0,76.9
WRK-الف-004,2026-01-03,True,6,0.0,100.0
WRK-الب-001,2026-01-03,True,7,2.7,74.9
WRK-الب-002,2026-01-03,True,9,0.5,88.8
WRK-كفر-001,2026-01-03,True,10,0.0,95.6
WRK-كفر-002,2026-01-03,True,8,1.8,90.0
WRK-كفر-003,2026-01-03,True,6,0.0,81.9
WRK-كفر-004,2026-01-03,True,7,2.0,82.4
WRK-بني-001,2026-01-03,True,13,0.0,71.6
WRK-بني-002,2026-01-03,True,5,0.4,60.1
WRK-بور-001,2026-01-03,True,5,1.4,78.6
